libraryName,collectionName,collectionNameHe,rangeStart,rangeEnd,svgCode,description,descriptionHe,floor,shelfLabel,shelfLabelHe,notes,notesHe
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",892.703,892.711,ka1_53_b,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,53 A,53 א',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",892.711,892.718,ka1_53_b,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,53 B,53 ב',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",892.718,892.73,ka1_54_a,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,54 A,54 א',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",892.73,892.73,ka1_54_b,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,54 B,54 ב',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",892.73,892.78,ka1_55_a,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,55 A,55 א',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",892.78,892.78,ka1_55_b,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,55 B,55 ב',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",950.05,950.05,ka1_55_b,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,55 B,55 ב',,
Sourasky Central Library,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",950.05,950.05,ka1_56_a,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",1,56 A,56 א',,
Sourasky Central Library,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",950.05,950.05,ka1_56_b,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",1,56 B,56 ב',,
Sourasky Central Library,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",950.05,950.05,ka1_57_a,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",1,57 A,57 א',,
Sourasky Central Library,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",950.05,950.05,ka1_57_b,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",1,57 B,57 ב',,
Sourasky Central Library,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",950.05,950.05,ka1_58_a,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",1,58 A,58 א',,
Sourasky Central Library,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",953,955.05,ka1_58_b,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",1,58 A,58 א',,
Sourasky Central Library,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",955.05,956.01,ka1_58_b,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",1,58 B,58 ב',,
Sourasky Central Library,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",956.01,956.02,ka1_59_a,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",1,59 A,59 א',,
Sourasky Central Library,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",956.02,956.101,ka1_59_b,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",1,59 B,59 ב',,
Sourasky Central Library,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",956.01,956.7,ka1_60_a,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",1,60 A,60 א',,
Sourasky Central Library,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",956.7,960,ka1_60_b,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",1,60 B,60 ב',,
Sourasky Central Library,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",960,962.03,ka1_61_a,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",1,61 A,61 א',,
Sourasky Central Library,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",962.03,963,ka1_61_b,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",1,61 B,61 ב',,
Sourasky Central Library,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",963,966.9,ka1_62_a,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",1,62 A,62 א',,
Sourasky Central Library,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",966.9,969.82,ka1_62_b,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",1,62 B,62 ב',,
Sourasky Central Library,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",300,301.153(42),ka1_63_a,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",1,63 A,63 א',,
Sourasky Central Library,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",301.153(42),301.243,ka1_63_b,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",1,63 B,63 ב',,
Sourasky Central Library,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",301.243,301.36(42),ka1_64_a,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",1,64 A,64 א',,
Sourasky Central Library,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",301.36(42),301.426,ka1_64_b,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",1,64 B,64 ב',,
Sourasky Central Library,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",301.426,301.445,ka1_65_a,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",1,65 A,65 א',,
Sourasky Central Library,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",301.445,301.45(73),ka1_65_b,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",1,65 B,65 ב',,
Sourasky Central Library,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",301.451(73),305,ka1_66_a,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",1,66 A,66 א',,
Sourasky Central Library,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",305,305,ka1_66_b,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",1,66 B,66 ב',,
Sourasky Central Library,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",305,305,ka1_67_a,Reading room 1 B - 1st floor,"אולם קריאה א'2, קומה ראשונה",1,67 A,67 א',,
